301,Fixed Save Points,General,N/A,26
302,Volume Controls,Auditory,N/A,26
303,Subtitles,Auditory,N/A,26
304,Screen Magnifier,Visual,N/A,26
305,Contrast Settings,Visual,N/A,26
306,Adjustable Interface Text,Visual,N/A,26
307,Controller Customization,Fine motor,N/A,26
308,Sticks,Fine motor,N/A,26
309,Buttons,Fine motor,N/A,26
310,Pause Gameplay,General,N/A,27
311,Internet Connection Required,General,N/A,27
312,Tutorials,General,N/A,27
313,Difficulty Options,General,N/A,27
314,Volume Controls,Auditory,N/A,27
315,Subtitles,Auditory,N/A,27
316,Contrast Settings,Visual,N/A,27
317,Controller Customization,Fine motor,N/A,27
318,Pause Gameplay,General,N/A,28
319,Internet Connection Required,General,N/A,28
320,Save Progress,General,N/A,28
321,Tutorials,General,N/A,28
322,Difficulty Options,General,N/A,28
323,Volume Controls,Auditory,N/A,28
324,Subtitles,Auditory,N/A,28
325,Contrast Settings,Visual,N/A,28
326,Controller Customization,Fine motor,N/A,28
327,Pause Gameplay,General,N/A,29
328,Save Progress,General,N/A,29
329,Tutorials,General,N/A,29
330,Difficulty Options,General,N/A,29
331,Volume Controls,Auditory,N/A,29
332,Contrast Settings,Visual,N/A,29
333,Controller Customization,Fine motor,N/A,29
334,Partial,Fine motor,N/A,29
335,Sticks,Fine motor,N/A,29
336,Buttons,Fine motor,N/A,29
337,Save Progress,General,N/A,30
338,Difficulty Options,General,N/A,30
339,Volume Controls,Auditory,N/A,30
340,Contrast Settings,Visual,N/A,30
341,Controller Customization,Fine motor,N/A,30
342,Pause Gameplay,General,N/A,31
343,Save Progress,General,N/A,31
344,Tutorials,General,N/A,31
345,Difficulty Options,General,N/A,31
346,Volume Controls,Auditory,N/A,31
347,Subtitles,Auditory,N/A,31
348,Contrast Settings,Visual,N/A,31
349,Controller Customization,Fine motor,N/A,31
350,Keyboard Rebinding,Fine motor,N/A,31
351,Mouse Rebinding,Fine motor,N/A,31
352,Sticks,Fine motor,N/A,31
353,Buttons,Fine motor,N/A,31
354,Pause Gameplay,General,N/A,32
355,Save Progress,General,N/A,32
356,Tutorials,General,N/A,32
357,Difficulty Options,General,N/A,32
358,Volume Controls,Auditory,N/A,32
359,Subtitles,Auditory,N/A,32
360,Contrast Settings,Visual,N/A,32
361,Controller Customization,Fine motor,N/A,32
362,Partial,Fine motor,N/A,32
363,Sticks,Fine motor,N/A,32
364,Buttons,Fine motor,N/A,32
365,Pause Gameplay,General,N/A,33
366,Save Progress,General,N/A,33
367,Tutorials,General,N/A,33
368,Difficulty Options,General,N/A,33
369,Volume Controls,Auditory,N/A,33
370,Subtitles,Auditory,N/A,33
371,Resizable,Auditory,N/A,33
372,Contrast Settings,Visual,N/A,33
373,Keyboard Rebinding,Fine motor,N/A,33
374,Mouse Rebinding,Fine motor,N/A,33
375,Internet Connection Required,General,N/A,34
376,Pause Gameplay,General,N/A,34
377,Save Progress,General,N/A,34
378,Tutorials,General,N/A,34
379,Difficulty Options,General,N/A,34
380,Volume Controls,Auditory,N/A,34
381,Subtitles,Auditory,N/A,34
